"NAME,C,20","LGA,C,20","TLAT,N,14,8","TLONG,N,14,8"
Yowah,Paroo Shire Council,-27.98421800,144.58055800
Yuleba,Maranoa Regional Cou,-26.61150800,149.38311000
Yuleba Creek,Maranoa Regional Cou,-26.61825000,149.38231440
Cardwell,Cassowary Coast Regi,-18.25770000,146.01190000
Atherton,Tablelands Regional,-17.26819300,145.47841900
Malanda,Tablelands Regional,-17.35040000,145.59100000
Mount Garnet,Tablelands Regional,-17.67880000,145.12120000
Kumbia,South Burnett Region,-26.69204700,151.65362400
Blackbutt,South Burnett Region,-26.88844340,152.09948100
Murgon,South Burnett Region,-26.24091000,151.94049600
Wondai,South Burnett Region,-26.32094200,151.87653000
Proston,South Burnett Region,-26.16500000,151.60274000
Baralaba,Banana Shire Council,-24.17917200,149.81213800
Biloela,Banana Shire Council,-24.39643500,150.51416000
Moura,Banana Shire Council,-24.57367100,149.97289000
Taroom,Banana Shire Council,-25.63982000,149.80063200
Theodore,Banana Shire Council,-24.94753000,150.07543600
Wowan,Banana Shire Council,-23.90986600,150.19686600
Babinda,Cairns Regional Coun,-17.34425400,145.92011000
Gordonvale,Cairns Regional Coun,-17.08660000,145.78830000
Holloways Beach,Cairns Regional Coun,-16.84260000,145.73840000
Machans Beach,Cairns Regional Coun,-16.85350000,145.75160000
Yorkeys Knob,Cairns Regional Coun,-16.81466600,145.71989300
Coen,Cook Shire Council,-13.94536600,143.19932100
Lakeland,Cook Shire Council,-15.86532000,144.85656600
Boigu Island,Torres Strait Island,-9.23020000,142.22090000
Erub Island (Darnley,Torres Strait Island,-9.57810800,143.76268500
Kubin,Torres Strait Island,-10.18283470,142.25845480
Mabuiag Island,Torres Strait Island,-9.95410000,142.19180000
Mer Island (Murray I,Torres Strait Island,-9.92105700,144.04815860
Masig Island (Yorke,Torres Strait Island,-9.73666800,143.42645300
Innisfail,Cassowary Coast Regi,-17.51810000,146.03400000
Mission Beach,Cassowary Coast Regi,-17.86830000,146.10700700
Herberton,Tablelands Regional,-17.38355400,145.38421400
Ravenshoe,Tablelands Regional,-17.60400000,145.48110000
Kingaroy,South Burnett Region,-26.54383600,151.83679700
Nanango,South Burnett Region,-26.67310100,152.00472300
Caloundra,Sunshine Coast Regio,-26.80135700,153.12694500
Glass House Mountain,Sunshine Coast Regio,-26.90980500,152.96135800
Kawana,Sunshine Coast Regio,-26.72880000,153.12590000
Maleny,Sunshine Coast Regio,-26.75682200,152.84647900
Childers,Bundaberg Regional C,-25.23648400,152.27720900
Woodgate,Bundaberg Regional C,-25.11507800,152.56771800
Agnes Water/1770,Gladstone Regional C,-24.21225800,151.90339200
Baffle,Gladstone Regional C,-24.53938200,151.77356500
Calliope,Gladstone Regional C,-24.00667400,151.19827500
Gladstone,Gladstone Regional C,-23.87310000,151.26200000
Miriam Vale,Gladstone Regional C,-24.32701100,151.55843300
Mount Larcom,Gladstone Regional C,-23.81135700,150.97895500
Rosedale,Gladstone Regional C,-24.62966900,151.91461300
Tannum Sands/Boyne I,Gladstone Regional C,-23.94895600,151.37045700
Southern Moreton Bay,Redland Shire Counci,-27.65010000,153.38220000
Redland Bay,Redland Shire Counci,-27.61920000,153.30960000
Buchan Point,Cairns Regional Coun,-16.73950000,145.66200000
Cairns,Cairns Regional Coun,-16.91728900,145.76976500
Edmonton,Cairns Regional Coun,-17.02150000,145.72390000
Trinity Beach,Cairns Regional Coun,-16.79020000,145.68700000
Badu Island,Torres Strait Island,-10.11979000,142.14380100
Poruma Island (Cocon,Torres Strait Island,-10.04970000,143.06800000
Dauan Island,Torres Strait Island,-9.41312500,142.53392500
Kirri Island (Hammon,Torres Strait Island,-10.55460000,142.21890000
Saibai Island,Torres Strait Island,-9.39117100,142.68930500
Sue Island (Warraber,Torres Strait Island,-10.20740000,142.82660000
Iama Island (Yam Isl,Torres Strait Island,-9.89840000,142.77090000
Boreen Point,,-26.28344790,152.99397430
Emu Park,,-23.25610000,150.82450000
Etna Creek,Rockhampton Regional,-23.22780000,150.47200000
Stanage Bay,Rockhampton Regional,-22.13660000,150.04560000
Yaamba,Rockhampton Regional,-23.13560000,150.36720000
Alexandra Bay,Cairns Regional Coun,-16.20250000,145.40350000
Mossman,Cairns Regional Coun,-16.46520000,145.37520000
Wonga,Cairns Regional Coun,-16.33635700,145.41694300
Eurong,Fraser Coast Regiona,-25.51260000,153.11900000
Happy Valley,Fraser Coast Regiona,-25.33647730,153.19633060
Boonooroo (Great San,Fraser Coast Regiona,-25.66498410,152.90105200
Tiaro,Fraser Coast Regiona,-25.71010000,152.58800000
Woocoo,Fraser Coast Regiona,-25.51507000,152.62475800
Eidsvold,North Burnett Region,-25.36986100,151.12235500
Jimboomba,Logan City Council,-27.98730400,152.90000000
